MJD	radial velocity, km/s
211.89885709911366	-50.8
236.08918191896038	-26.1
245.08315624137862	-7.6
932.42997591649407	-7.6
1013.51102966234816	-87.8
1260.31537359517392	+54.1
1316.77843914754044	+60.3
1545.27756343028295	-106.3
1716.73900413920001	+41.7
1834.51148219300421	+41.7
1954.17024814194315	-81.6
2405.75629897282215	-63.1
2411.72245432265800	-75.4
2677.99651864683347	+54.1
2728.13109245820942	+66.4
2771.18445714668178	+47.9
3185.75473635489288	+66.4
3197.68895722093748	+66.4
3204.17958240465350	+66.4
3517.29528064160149	-63.1
3729.46690644748287	+41.7
3817.17533154736566	-50.8
4001.41372054520843	-44.6
4029.35057023970239	-13.8
4062.92546853228305	+23.2
4111.44203610931709	+54.1
4182.48979716518534	+54.1
4392.83476386717848	-100.1
4556.33488519183084	+35.6
4691.35724539038165	+23.2
