MJD	radial velocity, km/s
211.89885709911366	-39.0
236.08918191896038	-9.8
245.08315624137862	-2.5
932.42997591649407	+4.8
1013.51102966234816	-75.6
1260.31537359517392	+63.3
1316.77843914754044	+70.6
1545.27756343028295	-97.5
1716.73900413920001	+56.0
1834.51148219300421	+48.7
1954.17024814194315	-75.6
2405.75629897282215	-53.6
2411.72245432265800	-68.3
2677.99651864683347	+63.3
2728.13109245820942	+70.6
2771.18445714668178	+56.0
3185.75473635489288	+77.9
3197.68895722093748	+70.6
3204.17958240465350	+77.9
3517.29528064160149	-46.3
3729.46690644748287	+56.0
3817.17533154736566	-46.3
4001.41372054520843	-31.7
4029.35057023970239	-2.5
4062.92546853228305	+26.8
4111.44203610931709	+77.9
4182.48979716518534	+63.3
4392.83476386717848	-97.5
4556.33488519183084	+56.0
4691.35724539038165	+34.1
