MJD	radial velocity, km/s
211.89885709911366	-25.5
236.08918191896038	+0.1
245.08315624137862	+6.5
932.42997591649407	+12.9
1013.51102966234816	-70.3
1260.31537359517392	+70.5
1316.77843914754044	+83.3
1545.27756343028295	-89.4
1716.73900413920001	+64.1
1834.51148219300421	+51.3
1954.17024814194315	-57.5
2405.75629897282215	-38.3
2411.72245432265800	-44.7
2677.99651864683347	+76.9
2728.13109245820942	+89.7
2771.18445714668178	+76.9
3185.75473635489288	+89.7
3197.68895722093748	+83.3
3204.17958240465350	+89.7
3517.29528064160149	-31.9
3729.46690644748287	+57.7
3817.17533154736566	-38.3
4001.41372054520843	-25.5
4029.35057023970239	+0.1
4062.92546853228305	+44.9
4111.44203610931709	+83.3
4182.48979716518534	+70.5
4392.83476386717848	-89.4
4556.33488519183084	+57.7
4691.35724539038165	+44.9
