MJD	radial velocity, km/s
211.89885709911366	-37.8
236.08918191896038	-9.3
245.08315624137862	+12.1
932.42997591649407	+5.0
1013.51102966234816	-66.4
1260.31537359517392	+55.0
1316.77843914754044	+76.4
1545.27756343028295	-94.9
1716.73900413920001	+55.0
1834.51148219300421	+62.1
1954.17024814194315	-66.4
2405.75629897282215	-45.0
2411.72245432265800	-52.1
2677.99651864683347	+69.2
2728.13109245820942	+90.7
2771.18445714668178	+69.2
3185.75473635489288	+83.5
3197.68895722093748	+83.5
3204.17958240465350	+76.4
3517.29528064160149	-45.0
3729.46690644748287	+47.8
3817.17533154736566	-37.8
4001.41372054520843	-30.7
4029.35057023970239	-2.1
4062.92546853228305	+47.8
4111.44203610931709	+76.4
4182.48979716518534	+69.2
4392.83476386717848	-87.8
4556.33488519183084	+62.1
4691.35724539038165	+40.7
